Order	Score	Word	IsRandom	Ngrams
160	25.68	nicholas   	 	ho(5.05), ch(3.78), ol(3.78), ic(3.74), ni(3.39), as(3.38), la(2.56)
161	25.59	atticus    	 	cu(5.82), tt(4.39), us(4.18), ti(3.80), ic(3.74), at(3.66)
162	25.59	malcolm    	 	lc(6.51), lm(6.22), co(3.92), ol(3.78), ma(2.58), al(2.57)
163	25.52	meredith   	 	ed(4.28), it(4.24), di(3.97), me(3.83), th(3.64), re(2.94), er(2.62)
164	25.52	kayleigh   	 	gh(4.84), ig(4.52), ei(4.43), yl(3.29), ka(3.11), ay(2.97), le(2.36)
165	25.44	beatrice   	 	tr(4.43), ea(4.06), ic(3.74), at(3.66), be(3.60), ce(3.50), ri(2.45)
166	25.39	yehuda     	 	eh(6.00), hu(5.53), ye(5.53), ud(5.13), da(3.20)
167	25.36	audrianna  	 	ud(5.13), au(4.18), dr(4.00), nn(2.87), ia(2.49), na(2.48), ri(2.45), an(1.78)
168	25.33	hayleigh   	 	gh(4.84), ig(4.52), ei(4.43), yl(3.29), ay(2.97), ha(2.92), le(2.36)
169	25.33	giovanna   	 	ov(5.41), gi(4.39), io(4.32), va(4.08), nn(2.87), na(2.48), an(1.78)
170	25.30	zachariah  	 	za(4.11), ac(4.03), ch(3.78), ah(3.19), ha(2.92), ia(2.49), ri(2.45), ar(2.33)
171	25.27	anastasia  	 	as(6.75), si(4.24), ta(4.03), st(3.50), ia(2.49), na(2.48), an(1.78)
172	25.13	catherine  	 	he(3.80), at(3.66), th(3.64), ca(3.22), ne(3.08), in(2.66), er(2.62), ri(2.45)
173	25.10	beckett    	 	ec(5.13), tt(4.39), ck(4.32), et(4.00), ke(3.66), be(3.60)
174	25.09	kaitlynn   	 	tl(5.31), it(4.24), ai(3.27), ly(3.19), ka(3.11), yn(3.10), nn(2.87)
175	25.07	patience   	 	pa(4.67), nc(4.18), ti(3.80), at(3.66), ce(3.50), ie(2.96), en(2.31)
176	25.06	finnegan   	 	fi(5.53), eg(4.97), ga(4.18), ne(3.08), nn(2.87), in(2.66), an(1.78)
177	25.06	reginald   	 	ld(5.05), eg(4.97), gi(4.39), re(2.94), in(2.66), al(2.57), na(2.48)
178	25.05	rodrigo    	 	go(5.82), od(4.90), ig(4.52), dr(4.00), ro(3.36), ri(2.45)
